asignatura,año,tipo,ccaa,link,operativo
Fundamentos Artísticos,2022,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2022_fundamentos_arte.zip,si
Fundamentos Artísticos,2023,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2023_fundamentos_arte.zip,si
Fundamentos Artísticos,2024,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2024_fundamentos_artisticos.zip,si
Fundamentos Artísticos,2024,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2024_fundamentos_arte.zip,si
Fundamentos Artísticos,2025,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2025_fundamentos_artisticos.zip,si
Física,2015,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2015_fisica.zip,si
Física,2016,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2016_fisica.zip,si
Física,2017,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2017_fisica.zip,si
Física,2018,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2018_fisica.zip,si
Física,2019,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2019_fisica.zip,si
Física,2020,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2020_fisica.zip,si
Física,2021,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2021_fisica.zip,si
Física,2022,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2022_fisica.zip,si
Física,2023,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2023_fisica.zip,si
Física,2024,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2024_fisica.zip,si
Física,2025,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2025_fisica.zip,si
Geografía,2015,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2015_geografia.zip,si
Geografía,2016,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2016_geografia.zip,si
Geografía,2017,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2017_geografia.zip,si
Geografía,2018,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2018_geografia.zip,si
Geografía,2019,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2019_geografia.zip,si
Geografía,2020,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2020_geografia.zip,si
Geografía,2021,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2021_geografia.zip,si
Geografía,2022,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2022_geografia.zip,si
Geografía,2023,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2023_geografia.zip,si
Geografía,2024,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2024_geografia.zip,si
Geografía,2025,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2025_geografia.zip,si
Geología y Ciencias Ambientales,2024,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2024_geologia_ciencias_ambientales.zip,si
Geología y Ciencias Ambientales,2025,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2025_geologia_ciencias_ambientales.zip,si
Griego II,2015,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2015_griego.zip,si
Griego II,2016,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2016_griego.zip,si
